"阈值","基础模型","优化模型","全部干预","不干预"
0.05,0.77655606124414,0.807696944278392,0.125040995879023,0
0.06,0.740407886704372,0.777913255911108,0.115732921367098,0
0.07,0.706426736520986,0.750500549618651,0.106224673209755,0
0.08,0.674475543363609,0.724442646008108,0.0965097240055128,0
0.09,0.644043123878816,0.699279459343579,0.0865812594341448,0
0.1,0.615051056601912,0.675325501736683,0.0764321623167464,0
0.11,0.587300507233221,0.65190446415061,0.0660549956012043,0
0.12,0.560779460916676,0.629019966127834,0.0554419841875816,0
0.13,0.535176691137999,0.60689800189888,0.0445849955000825,0
0.14,0.510430407748356,0.585740622349251,0.0334755187035718,0
0.15,0.486656489454698,0.565038589006912,0.0221046424530256,0
0.16,0.463664085204916,0.544784238963549,0.0104630310536569,0
0.17,0.441306154874847,0.525101002251472,-0.00145910110232311,0
0.18,0.419652768132083,0.506196495397717,-0.0136720169694246,0
0.19,0.398738012471389,0.487959805043451,-0.0261864863147262,0
0.2,0.378406894531395,0.470238939724987,-0.0390138173936602,0
0.21,0.358699263424175,0.453038478129307,-0.0521658910315547,0
0.22,0.339761708208593,0.436678514150009,-0.0656551973268311,0
0.23,0.321373079651562,0.420898782116577,-0.0794948752141925,0
0.24,0.30363243511019,0.4057569170641,-0.0936987551512213,0
0.25,0.28664621783204,0.391111043054111,-0.108281405219904,0
0.26,0.270165345780311,0.377054855290656,-0.123258180966119,0
0.27,0.254134436651024,0.36349463447659,-0.138645279335518,0
0.28,0.2385235837312,0.350451889746464,-0.154459797104067,0
0.29,0.223521115775819,0.337696278126094,-0.170719794246378,0
0.3,0.209431884411267,0.325577096626476,-0.187444362735612,0
0.31,0.196043309092046,0.314011073897295,-0.204653701325983,0
0.32,0.182929476548913,0.30285962330569,-0.222369196933718,0
0.33,0.17029295464138,0.292027247812135,-0.240613513305863,0
0.34,0.158276363698,0.281393814284371,-0.259410687749891,0
0.35,0.146708153658225,0.271280118301597,-0.278786236792197,0
0.36,0.135402468125869,0.261536767630167,-0.298767271742075,0
0.37,0.124749261242212,0.252132300094955,-0.319382625261791,0
0.38,0.114610856178886,0.243018175192403,-0.340662990185368,0
0.39,0.10500019029113,0.233882091758592,-0.362641071991686,0
0.4,0.0958308239674909,0.224849785522864,-0.38535175652488,0
0.41,0.0873715358421199,0.216166216602647,-0.408832294771065,0
0.42,0.0793131959660255,0.207752868023757,-0.433122506749876,0
0.43,0.0717252844174735,0.199480524307098,-0.458265006868295,0
0.44,0.0646100957862965,0.191375254912262,-0.484305453419515,0
0.45,0.0580183439035403,0.183378573372855,-0.511292825299869,0
0.46,0.0519194755839335,0.175555529012062,-0.539279729472089,0
0.47,0.0463559522472951,0.168248606519739,-0.568322743235714,0
0.48,0.041283256946085,0.161201788517021,-0.598482795990247,0
0.49,0.0365763026464799,0.154300987526085,-0.629825595911624,0
0.5,0.032211438134683,0.147628156398658,-0.662422107829856,0
